ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,ID Geography,ID,Region
2015,2015,0,Total,46484,7617.0,"Census Tract 112, Queens County, NY",14000US36081011200,36081011200,NYC
2015,2015,0,Total,86750,43654.0,"Census Tract 476, Queens County, NY",14000US36081047600,36081047600,NYC
2015,2015,0,Total,65096,10989.0,"Census Tract 1006, Kings County, NY",14000US36047100600,36047100600,NYC
2015,2015,0,Total,24759,6315.0,"Census Tract 283, Bronx County, NY",14000US36005028300,36005028300,NYC
2015,2015,0,Total,43750,13081.0,"Census Tract 410, Kings County, NY",14000US36047041000,36047041000,NYC
2015,2015,0,Total,97039,17983.0,"Census Tract 709, Queens County, NY",14000US36081070900,36081070900,NYC
2015,2015,0,Total,61078,7024.999999999999,"Census Tract 111, Queens County, NY",14000US36081011100,36081011100,NYC
2015,2015,0,Total,60446,8801.0,"Census Tract 1008, Kings County, NY",14000US36047100800,36047100800,NYC
2015,2015,0,Total,97760,14290.0,"Census Tract 164, Kings County, NY",14000US36047016400,36047016400,NYC
2015,2015,0,Total,17756,3843.0,"Census Tract 52, Bronx County, NY",14000US36005005200,36005005200,NYC
2015,2015,0,Total,54130,16452.0,"Census Tract 475, Queens County, NY",14000US36081047500,36081047500,NYC
2015,2015,0,Total,35068,16481.0,"Census Tract 411, Kings County, NY",14000US36047041100,36047041100,NYC
2015,2015,0,Total,59840,6304.0,"Census Tract 1010, Kings County, NY",14000US36047101000,36047101000,NYC
2015,2015,0,Total,33785,6549.0,"Census Tract 157, Bronx County, NY",14000US36005015700,36005015700,NYC
2015,2015,0,Total,41250,7687.999999999999,"Census Tract 96, Bronx County, NY",14000US36005009600,36005009600,NYC
2015,2015,0,Total,70597,8201.0,"Census Tract 110, Queens County, NY",14000US36081011000,36081011000,NYC
2015,2015,0,Total,37829,9653.0,"Census Tract 418, Bronx County, NY",14000US36005041800,36005041800,NYC
2015,2015,0,Total,64760,13498.0,"Census Tract 1012, Kings County, NY",14000US36047101200,36047101200,NYC
2015,2015,0,Total,124714,40045.0,"Census Tract 165, Kings County, NY",14000US36047016500,36047016500,NYC
2015,2015,0,Total,41944,11129.0,"Census Tract 412, Kings County, NY",14000US36047041200,36047041200,NYC
2015,2015,0,Total,19923,2402.0,"Census Tract 33, Bronx County, NY",14000US36005003300,36005003300,NYC
2015,2015,0,Total,44545,11232.0,"Census Tract 108, Queens County, NY",14000US36081010800,36081010800,NYC
2015,2015,0,Total,60969,7976.999999999999,"Census Tract 1014, Kings County, NY",14000US36047101400,36047101400,NYC
2015,2015,0,Total,25847,5933.0,"Census Tract 216.01, Bronx County, NY",14000US36005021601,36005021601,NYC
2015,2015,0,Total,52500,4878.0,"Census Tract 473, Queens County, NY",14000US36081047300,36081047300,NYC
2015,2015,0,Total,81042,19159.0,"Census Tract 707, Queens County, NY",14000US36081070700,36081070700,NYC
2015,2015,0,Total,38955,4814.0,"Census Tract 413, Kings County, NY",14000US36047041300,36047041300,NYC
2015,2015,0,Total,98208,10628.0,"Census Tract 1016, Kings County, NY",14000US36047101600,36047101600,NYC
2015,2015,0,Total,41172,17004.0,"Census Tract 1010.02, Queens County, NY",14000US36081101002,36081101002,NYC
2015,2015,0,Total,80395,22784.0,"Census Tract 166, Kings County, NY",14000US36047016600,36047016600,NYC
