Unnamed: 0,geoid,year,in100,msaid15,msaname15,countyfips,statefips,stateusps,pop,z_ED_nat,z_HE_nat,z_SE_nat,z_COI_nat,c5_ED_nat,c5_HE_nat,c5_SE_nat,c5_COI_nat,r_ED_nat,r_HE_nat,r_SE_nat,r_COI_nat,c5_ED_stt,c5_HE_stt,c5_SE_stt,c5_COI_stt,r_ED_stt,r_HE_stt,r_SE_stt,r_COI_stt,c5_ED_met,c5_HE_met,c5_SE_met,c5_COI_met,r_ED_met,r_HE_met,r_SE_met,r_COI_met,ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,ID Geography,ID,Region
2454,36103122705,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36103,36,NY,687,0.018209549,0.041623529,0.08498472,0.016332,High,High,High,High,64,72,62,65,Moderate,Moderate,High,High,60,56,68,66,Moderate,Moderate,High,Moderate,51,53,64,60,2015,2015,0,Total,75556,21328.0,"Census Tract 1227.05, Suffolk County, NY",14000US36103122705,36103122705,LI
2455,36103122706,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36103,36,NY,822,0.021514369,0.046697482,0.12126219,0.021458954,High,High,High,High,66,77,70,70,High,High,High,High,61,65,73,71,Moderate,High,High,High,52,61,70,65,2015,2015,0,Total,84278,11867.0,"Census Tract 1227.06, Suffolk County, NY",14000US36103122706,36103122706,LI
2456,36103122707,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36103,36,NY,551,0.03138018,0.062556252,0.2389157,0.037928727,High,Very High,Very High,Very High,70,91,92,87,High,Very High,Very High,Very High,65,86,94,88,Moderate,Very High,Very High,Very High,56,82,94,83,2015,2015,0,Total,92500,14626.0,"Census Tract 1227.07, Suffolk County, NY",14000US36103122707,36103122707,LI
2457,36103122801,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36103,36,NY,1160,0.027110552000000003,0.016794933,0.10401415,0.016888646,High,Moderate,High,High,68,47,66,65,High,Low,High,High,63,21,71,66,Moderate,Low,High,High,54,22,67,61,2015,2015,0,Total,71875,14441.0,"Census Tract 1228.01, Suffolk County, NY",14000US36103122801,36103122801,LI
2458,36103122802,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36103,36,NY,915,0.015487177,0.040584817999999995,0.12816536,0.020945527,High,High,High,High,63,71,71,70,Moderate,Moderate,High,High,58,55,75,70,Moderate,Moderate,High,High,50,52,72,64,2015,2015,0,Total,83026,11664.0,"Census Tract 1228.02, Suffolk County, NY",14000US36103122802,36103122802,LI
2459,36103122901,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36103,36,NY,1385,0.011509192,0.050501755999999995,0.14352465,0.02334835,High,Very High,High,High,61,81,74,73,Moderate,High,High,High,56,70,78,73,Moderate,High,High,High,48,66,75,66,2015,2015,0,Total,78173,15781.0,"Census Tract 1229.01, Suffolk County, NY",14000US36103122901,36103122901,LI
2460,36103122902,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36103,36,NY,714,0.007576079,0.040070251,0.12016775,0.019085459,Moderate,High,High,High,59,71,70,68,Moderate,Moderate,High,High,54,54,73,68,Moderate,Moderate,High,High,46,52,70,62,2015,2015,0,Total,79219,13795.000000000002,"Census Tract 1229.02, Suffolk County, NY",14000US36103122902,36103122902,LI
2461,36103123001,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36103,36,NY,1270,0.00800207,0.03335128,0.091248885,0.015052268,Moderate,High,High,High,59,64,63,63,Moderate,Moderate,High,High,54,44,69,64,Moderate,Moderate,High,Moderate,46,42,65,59,2015,2015,0,Total,83015,5907.0,"Census Tract 1230.01, Suffolk County, NY",14000US36103123001,36103123001,LI
2462,36103123002,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36103,36,NY,1132,0.02086468,0.026437707,0.081800058,0.014639077,High,Moderate,High,High,65,57,61,63,High,Low,High,High,61,34,67,64,Moderate,Low,High,Moderate,52,33,63,59,2015,2015,0,Total,103199,15068.0,"Census Tract 1230.02, Suffolk County, NY",14000US36103123002,36103123002,LI
2463,36103123101,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36103,36,NY,631,0.04465441,0.020402551,0.11503709,0.02049485,High,Moderate,High,High,75,51,68,69,High,Low,High,High,71,25,72,70,High,Low,High,High,61,25,69,64,2015,2015,0,Total,80406,9804.0,"Census Tract 1231.01, Suffolk County, NY",14000US36103123101,36103123101,LI
