,geoid,year,in100,msaid15,msaname15,countyfips,statefips,stateusps,pop,z_ED_nat,z_HE_nat,z_SE_nat,z_COI_nat,c5_ED_nat,c5_HE_nat,c5_SE_nat,c5_COI_nat,r_ED_nat,r_HE_nat,r_SE_nat,r_COI_nat,c5_ED_stt,c5_HE_stt,c5_SE_stt,c5_COI_stt,r_ED_stt,r_HE_stt,r_SE_stt,r_COI_stt,c5_ED_met,c5_HE_met,c5_SE_met,c5_COI_met,r_ED_met,r_HE_met,r_SE_met,r_COI_met
1607,36061024100,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36061,36,NY,929,-0.058021653,0.020754224,-0.17755477,-0.024868671,Low,Moderate,Very Low,Very Low,21,51,17,20,Low,Low,Low,Low,23,26,28,26,Low,Low,Low,Low,23,26,27,25
1608,36061024200,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36061,36,NY,1232,-0.007826532,0.0431544,-0.37412795,-0.039811458,Moderate,High,Very Low,Very Low,50,74,5,11,Moderate,Moderate,Very Low,Very Low,45,59,13,18,Low,Moderate,Very Low,Very Low,40,56,11,16
1609,36061024301,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36061,36,NY,661,-0.010083492,0.03445347,-0.22093888,-0.023159867,Moderate,High,Very Low,Low,49,65,13,21,Moderate,Moderate,Low,Low,44,46,23,27,Low,Moderate,Low,Low,39,44,22,27
1610,36061024302,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36061,36,NY,2226,-0.067217544,0.057978816,-0.56006294,-0.066437714,Very Low,Very High,Very Low,Very Low,17,87,1,3,Very Low,Very High,Very Low,Very Low,19,81,3,6,Very Low,High,Very Low,Very Low,20,77,3,5
1611,36061024500,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36061,36,NY,2384,-0.093150243,0.022338385,-0.38813716,-0.053089689,Very Low,Moderate,Very Low,Very Low,8,53,4,6,Very Low,Low,Very Low,Very Low,10,28,12,11,Very Low,Low,Very Low,Very Low,11,28,10,9
1612,36061024700,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36061,36,NY,926,-0.044189673,0.043008305,-0.18511403,-0.021851195,Low,High,Very Low,Low,28,74,16,23,Low,Moderate,Low,Low,28,58,27,28,Low,Moderate,Low,Low,27,55,26,28
1613,36061024900,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36061,36,NY,179,-0.029224865,0.042964295,-0.24696414,-0.027399067,Low,High,Very Low,Very Low,37,74,11,18,Low,Moderate,Low,Low,34,58,21,25,Low,Moderate,Very Low,Low,32,55,20,24
1614,36061025100,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36061,36,NY,506,-0.037947558,0.00922814,-0.38332963,-0.047822274,Low,Low,Very Low,Very Low,32,40,4,7,Low,Very Low,Very Low,Very Low,30,15,12,14,Low,Very Low,Very Low,Very Low,30,15,11,13
1615,36061025300,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36061,36,NY,2257,-0.060166709,0.028055131,-0.25902009,-0.033809256,Very Low,Moderate,Very Low,Very Low,20,58,10,14,Low,Low,Very Low,Very Low,22,36,20,20,Low,Low,Very Low,Very Low,22,35,18,19
1616,36061025500,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36061,36,NY,662,-0.056012388,0.063672878,-0.20483223,-0.023254082,Low,Very High,Very Low,Low,22,91,14,21,Low,Very High,Low,Low,24,87,25,27,Low,Very High,Low,Low,24,83,23,26
