,geoid,year,in100,msaid15,msaname15,countyfips,statefips,stateusps,pop,z_ED_nat,z_HE_nat,z_SE_nat,z_COI_nat,c5_ED_nat,c5_HE_nat,c5_SE_nat,c5_COI_nat,r_ED_nat,r_HE_nat,r_SE_nat,r_COI_nat,c5_ED_stt,c5_HE_stt,c5_SE_stt,c5_COI_stt,r_ED_stt,r_HE_stt,r_SE_stt,r_COI_stt,c5_ED_met,c5_HE_met,c5_SE_met,c5_COI_met,r_ED_met,r_HE_met,r_SE_met,r_COI_met
1,36005000200,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1061,-0.012613918,0.036519978,-0.23434211,-0.024779497,Moderate,High,Very Low,Very Low,47,67,12,20,Moderate,Moderate,Low,Low,43,49,22,26,Low,Moderate,Low,Low,38,47,21,25
2,36005000400,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1225,0.012289447,0.042978842,-0.1875283,-0.015891207,High,High,Very Low,Low,61,74,16,28,Moderate,Moderate,Low,Low,56,58,27,33,Moderate,Moderate,Low,Low,48,55,26,33
3,36005001600,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1795,-0.022803664,0.044157237,-0.38710797,-0.042871065,Moderate,High,Very Low,Very Low,41,75,4,9,Low,Moderate,Very Low,Very Low,38,60,12,16,Low,Moderate,Very Low,Very Low,35,57,10,15
4,36005001900,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,756,-0.087908603,0.040299751,-0.31381154,-0.04194957,Very Low,High,Very Low,Very Low,10,71,7,10,Very Low,Moderate,Very Low,Very Low,11,54,16,16,Very Low,Moderate,Very Low,Very Low,12,52,15,15
5,36005002000,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,2866,-0.04788617,0.034918029,-0.6585753,-0.078218415,Low,High,Very Low,Very Low,26,66,1,1,Low,Moderate,Very Low,Very Low,27,46,1,2,Low,Moderate,Very Low,Very Low,26,45,1,2
6,36005002300,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1222,-0.010779073,0.041166019,-0.7676726,-0.086147085,Moderate,High,Very Low,Very Low,48,72,1,1,Moderate,Moderate,Very Low,Very Low,44,56,1,1,Low,Moderate,Very Low,Very Low,39,53,1,1
7,36005002500,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1784,-0.10315226,0.009798636,-0.5280382,-0.07181035,Very Low,Low,Very Low,Very Low,6,40,1,2,Very Low,Very Low,Very Low,Very Low,7,16,4,4,Very Low,Very Low,Very Low,Very Low,7,16,4,3
8,36005002701,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1079,-0.090189382,0.03291069,-0.52261299,-0.067286633,Very Low,High,Very Low,Very Low,9,63,2,3,Very Low,Moderate,Very Low,Very Low,11,43,5,5,Very Low,Moderate,Very Low,Very Low,11,42,4,4
9,36005002702,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1492,-0.11903032,0.02599204,-0.60985053,-0.081363365,Very Low,Moderate,Very Low,Very Low,3,56,1,1,Very Low,Low,Very Low,Very Low,3,33,2,2,Very Low,Low,Very Low,Very Low,3,33,2,1
10,36005002800,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1025,-0.050647192,0.043124013,-0.35986888,-0.042889394,Low,High,Very Low,Very Low,24,74,5,9,Low,Moderate,Very Low,Very Low,26,59,14,16,Low,Moderate,Very Low,Very Low,25,56,12,15
11,36005003100,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,447,-0.095488325,0.032575645,-0.17193386,-0.027098833,Very Low,High,Very Low,Very Low,8,63,18,18,Very Low,Moderate,Low,Low,9,43,28,25,Very Low,Moderate,Low,Low,10,41,27,24
12,36005003300,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1312,-0.1090646,0.03200265,-0.65646964,-0.0850472,Very Low,High,Very Low,Very Low,5,62,1,1,Very Low,Moderate,Very Low,Very Low,5,42,1,1,Very Low,Moderate,Very Low,Very Low,5,41,1,1
13,36005003500,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1264,-0.10481546,0.032993812,-0.45987612,-0.061593957,Very Low,High,Very Low,Very Low,6,64,2,4,Very Low,Moderate,Very Low,Very Low,6,43,7,8,Very Low,Moderate,Very Low,Very Low,6,42,7,6
14,36005003700,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,33,-0.10924338,0.071219757,-0.50206679,-0.062925845,Very Low,Very High,Very Low,Very Low,5,95,2,3,Very Low,Very High,Very Low,Very Low,5,93,5,7,Very Low,Very High,Very Low,Very Low,5,90,5,6
15,36005003800,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,343,-0.025898289,0.026418446,-0.31179971,-0.036336921,Low,Moderate,Very Low,Very Low,39,57,7,12,Low,Low,Very Low,Very Low,36,34,16,19,Low,Low,Very Low,Very Low,33,33,15,18
16,36005003900,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1760,-0.080474667,-0.029959211,-0.36974117,-0.055112317,Very Low,Very Low,Very Low,Very Low,12,14,5,5,Very Low,Very Low,Very Low,Very Low,14,4,13,10,Very Low,Very Low,Very Low,Very Low,15,3,12,9
17,36005004001,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,308,-0.039624803,0.031154627,-0.18820119,-0.022967082,Low,High,Very Low,Low,31,62,16,22,Low,Moderate,Low,Low,29,41,27,28,Low,Low,Low,Low,29,40,26,27
18,36005004100,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1833,-0.055296078,0.022045942,-0.68254519,-0.083196715,Low,Moderate,Very Low,Very Low,22,52,1,1,Low,Low,Very Low,Very Low,24,28,1,1,Low,Low,Very Low,Very Low,24,28,1,1
19,36005004200,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1972,-0.033635389,0.044924375,-0.6534704,-0.074984111,Low,High,Very Low,Very Low,34,76,1,2,Low,High,Very Low,Very Low,32,62,1,3,Low,Moderate,Very Low,Very Low,31,58,1,2
20,36005004300,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1700,-0.12608546,0.023605976,-0.52224445,-0.072202332,Very Low,Moderate,Very Low,Very Low,2,54,2,2,Very Low,Low,Very Low,Very Low,2,30,5,4,Very Low,Low,Very Low,Very Low,2,30,4,3
21,36005004400,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1246,-0.070543356,0.043560799,-0.68254066,-0.082592554,Very Low,High,Very Low,Very Low,15,74,1,1,Very Low,Moderate,Very Low,Very Low,18,59,1,2,Very Low,Moderate,Very Low,Very Low,18,56,1,1
22,36005004600,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,500,-0.072439089,0.059200421,-0.41301835,-0.049773104,Very Low,Very High,Very Low,Very Low,15,88,3,7,Very Low,Very High,Very Low,Very Low,17,83,10,13,Very Low,High,Very Low,Very Low,18,78,9,11
23,36005004800,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1090,-0.087680846,0.012828947,-0.46686357,-0.062658437,Very Low,Moderate,Very Low,Very Low,10,43,2,3,Very Low,Very Low,Very Low,Very Low,11,18,7,7,Very Low,Very Low,Very Low,Very Low,12,18,6,6
24,36005005001,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1595,-0.084515058,0.017792547,-0.52498394,-0.068543881,Very Low,Moderate,Very Low,Very Low,11,48,1,3,Very Low,Low,Very Low,Very Low,12,23,5,5,Very Low,Low,Very Low,Very Low,13,23,4,4
25,36005005002,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1475,-0.1085304,-0.010140782,-0.49330583,-0.070484728,Very Low,Low,Very Low,Very Low,5,25,2,2,Very Low,Very Low,Very Low,Very Low,5,8,6,4,Very Low,Very Low,Very Low,Very Low,5,7,5,3
26,36005005100,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1855,0.027824866,0.045606259,-0.48242822,-0.048212245,High,High,Very Low,Very Low,68,76,2,7,High,High,Very Low,Very Low,64,63,6,14,Moderate,Moderate,Very Low,Very Low,55,59,6,12
27,36005005200,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,663,-0.11031847,0.03550192,-0.4984827,-0.066428207,Very Low,High,Very Low,Very Low,5,66,2,3,Very Low,Moderate,Very Low,Very Low,5,47,6,6,Very Low,Moderate,Very Low,Very Low,5,45,5,5
28,36005005300,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1517,-0.12191587,0.021995779,-0.75588614,-0.09910208,Very Low,Moderate,Very Low,Very Low,3,52,1,1,Very Low,Low,Very Low,Very Low,3,27,1,1,Very Low,Low,Very Low,Very Low,3,27,1,1
29,36005005400,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1675,-0.12286539,-0.003985107,-0.44515046,-0.065810591,Very Low,Low,Very Low,Very Low,3,29,3,3,Very Low,Very Low,Very Low,Very Low,3,10,8,6,Very Low,Very Low,Very Low,Very Low,2,9,7,5
30,36005005600,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,702,-0.095411502,0.005912794,-0.47787541,-0.065530494,Very Low,Low,Very Low,Very Low,8,37,2,3,Very Low,Very Low,Very Low,Very Low,9,14,7,6,Very Low,Very Low,Very Low,Very Low,10,13,6,5
31,36005005902,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,542,0.014710681,0.030170731,-0.40269518,-0.042025812,High,High,Very Low,Very Low,62,61,4,9,Moderate,Low,Very Low,Very Low,58,39,11,16,Moderate,Low,Very Low,Very Low,49,38,9,15
32,36005006000,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,304,-0.083928794,0.017514447,-0.40259343,-0.054265808,Very Low,Moderate,Very Low,Very Low,11,48,4,5,Very Low,Low,Very Low,Very Low,13,22,11,10,Very Low,Low,Very Low,Very Low,13,22,9,9
33,36005006100,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,361,0.025558122,0.021604821,-0.23280311,-0.021967329,High,Moderate,Very Low,Low,67,52,12,22,High,Low,Low,Low,63,27,22,28,Moderate,Low,Low,Low,54,27,21,28
34,36005006200,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,2120,-0.089686051,0.036830079,-0.61372823,-0.077417225,Very Low,High,Very Low,Very Low,9,68,1,2,Very Low,Moderate,Very Low,Very Low,11,49,2,3,Very Low,Moderate,Very Low,Very Low,12,47,2,2
35,36005006300,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,940,0.002725001,0.02298015,-0.36432245,-0.0396505,Moderate,Moderate,Very Low,Very Low,56,53,5,11,Moderate,Low,Very Low,Very Low,51,29,13,18,Moderate,Low,Very Low,Very Low,44,29,12,16
36,36005006400,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,945,-0.094235718,0.018304063,-0.40970099,-0.056148399,Very Low,Moderate,Very Low,Very Low,8,48,3,5,Very Low,Low,Very Low,Very Low,9,23,10,10,Very Low,Low,Very Low,Very Low,10,23,9,8
37,36005006500,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1515,-0.09242367,0.021234464,-0.42739475,-0.057695318,Very Low,Moderate,Very Low,Very Low,8,51,3,4,Very Low,Low,Very Low,Very Low,10,26,9,9,Very Low,Low,Very Low,Very Low,11,26,8,8
38,36005006700,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,2452,-0.12900445,0.021113016,-0.50009358,-0.070212558,Very Low,Moderate,Very Low,Very Low,2,51,2,2,Very Low,Low,Very Low,Very Low,2,26,5,4,Very Low,Low,Very Low,Very Low,2,26,5,3
39,36005006800,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,972,-0.10371245,0.01678412,-0.19067518,-0.031869333,Very Low,Moderate,Very Low,Very Low,6,47,16,15,Very Low,Low,Low,Low,7,21,26,22,Very Low,Low,Low,Very Low,7,22,25,20
40,36005006900,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,2635,-0.071497783,0.038569964,-0.41330075,-0.051897097,Very Low,High,Very Low,Very Low,15,69,3,6,Very Low,Moderate,Very Low,Very Low,18,52,10,11,Very Low,Moderate,Very Low,Very Low,18,50,9,10
41,36005007000,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1234,-0.05899955,0.017519753,-0.31995457,-0.04189232,Very Low,Moderate,Very Low,Very Low,20,48,7,10,Low,Low,Very Low,Very Low,22,22,16,16,Low,Low,Very Low,Very Low,22,22,14,15
42,36005007100,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,634,-0.10312828,0.052711673,-0.29845533,-0.040524457,Very Low,Very High,Very Low,Very Low,6,83,8,10,Very Low,High,Very Low,Very Low,7,73,17,17,Very Low,High,Very Low,Very Low,7,69,16,16
43,36005007200,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1470,-0.030559639,0.023462744,-0.26784492,-0.032051649,Low,Moderate,Very Low,Very Low,36,54,9,15,Low,Low,Very Low,Low,34,30,19,22,Low,Low,Very Low,Very Low,32,30,18,20
44,36005007300,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1360,-0.12044735,0.020525135,-0.62172979,-0.08348415,Very Low,Moderate,Very Low,Very Low,3,51,1,1,Very Low,Low,Very Low,Very Low,3,26,2,1,Very Low,Low,Very Low,Very Low,3,26,2,1
45,36005007400,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,696,-0.015796786,0.023883631,-0.40702862,-0.046571855,Moderate,Moderate,Very Low,Very Low,45,54,4,8,Moderate,Low,Very Low,Very Low,42,30,11,14,Low,Low,Very Low,Very Low,37,30,9,13
46,36005007500,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1821,-0.099839121,0.027845945,-0.51871014,-0.068438202,Very Low,Moderate,Very Low,Very Low,7,58,2,3,Very Low,Low,Very Low,Very Low,8,36,5,5,Very Low,Low,Very Low,Very Low,9,35,4,4
47,36005007600,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1304,-0.097450942,-0.004714271,-0.46659797,-0.065574363,Very Low,Low,Very Low,Very Low,7,29,2,3,Very Low,Very Low,Very Low,Very Low,8,9,7,6,Very Low,Very Low,Very Low,Very Low,9,9,6,5
48,36005007700,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,566,-0.11325163,0.048021913,-0.46471608,-0.061490785,Very Low,High,Very Low,Very Low,4,79,2,4,Very Low,High,Very Low,Very Low,4,67,7,8,Very Low,High,Very Low,Very Low,4,63,6,6
49,36005007800,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1845,-0.047604553,0.008350079,-0.44405007,-0.056049503,Low,Low,Very Low,Very Low,26,39,3,5,Low,Very Low,Very Low,Very Low,27,15,8,10,Low,Very Low,Very Low,Very Low,27,15,7,8
50,36005007900,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,2167,-0.093839504,0.036949158,-0.56539428,-0.072239012,Very Low,High,Very Low,Very Low,8,68,1,2,Very Low,Moderate,Very Low,Very Low,9,49,3,4,Very Low,Moderate,Very Low,Very Low,10,47,3,3
51,36005008300,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1797,-0.085183717,0.024595797,-0.49502951,-0.064408034,Very Low,Moderate,Very Low,Very Low,10,55,2,3,Very Low,Low,Very Low,Very Low,12,31,6,6,Very Low,Low,Very Low,Very Low,13,31,5,5
52,36005008400,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,622,-0.006543557,0.032276016,-0.18454948,-0.018765491,Moderate,High,Very Low,Low,51,63,16,25,Moderate,Moderate,Low,Low,46,42,27,31,Low,Moderate,Low,Low,40,41,26,30
53,36005008500,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1849,-0.074844286,0.015756112,-0.55019689,-0.070625491,Very Low,Moderate,Very Low,Very Low,14,46,1,2,Very Low,Low,Very Low,Very Low,16,21,4,4,Very Low,Very Low,Very Low,Very Low,17,20,3,3
54,36005008600,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1007,-0.014150519,0.044845063,-0.53654736,-0.05923181,Moderate,High,Very Low,Very Low,46,76,1,4,Moderate,High,Very Low,Very Low,42,61,4,8,Low,Moderate,Very Low,Very Low,38,58,4,7
55,36005008700,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1499,-0.076394096,0.026936913,-0.59034121,-0.074278817,Very Low,Moderate,Very Low,Very Low,13,57,1,2,Very Low,Low,Very Low,Very Low,16,35,3,3,Very Low,Low,Very Low,Very Low,16,34,3,3
56,36005008900,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1098,-0.060995959,0.008499779,-0.51260251,-0.065491661,Very Low,Low,Very Low,Very Low,19,39,2,3,Low,Very Low,Very Low,Very Low,22,15,5,6,Low,Very Low,Very Low,Very Low,22,15,5,5
57,36005009000,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1062,-0.013578734,0.052128926,-0.57708621,-0.063111141,Moderate,Very High,Very Low,Very Low,47,82,1,3,Moderate,High,Very Low,Very Low,43,72,3,7,Low,High,Very Low,Very Low,38,69,3,6
58,36005009200,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1453,-0.007582401,0.034043953,-0.32116884,-0.034590907,Moderate,High,Very Low,Very Low,50,65,7,13,Moderate,Moderate,Very Low,Very Low,46,45,16,20,Low,Moderate,Very Low,Very Low,40,43,14,19
59,36005009300,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1713,-0.098119654,0.012539451,-0.56185061,-0.074897155,Very Low,Moderate,Very Low,Very Low,7,43,1,2,Very Low,Very Low,Very Low,Very Low,8,18,3,3,Very Low,Very Low,Very Low,Very Low,9,18,3,3
60,36005009600,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,588,-0.002282034,0.028007301,-0.39967072,-0.043782692,Moderate,Moderate,Very Low,Very Low,53,58,4,9,Moderate,Low,Very Low,Very Low,49,36,11,16,Moderate,Low,Very Low,Very Low,42,35,10,14
61,36005009800,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,991,-0.028758312,0.036237016,-0.23612311,-0.026801713,Low,High,Very Low,Very Low,37,67,12,18,Low,Moderate,Low,Low,35,48,22,25,Low,Moderate,Very Low,Low,32,47,20,24
62,36005011000,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,13,-0.004471106,0.021698104,-0.29934001,-0.03302034,Moderate,Moderate,Very Low,Very Low,52,52,8,14,Moderate,Low,Very Low,Low,47,27,17,21,Moderate,Low,Very Low,Very Low,41,27,16,20
63,36005011502,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1560,-0.089986049,-0.004471432,-0.59617698,-0.079802625,Very Low,Low,Very Low,Very Low,9,29,1,1,Very Low,Very Low,Very Low,Very Low,11,9,3,2,Very Low,Very Low,Very Low,Very Low,12,9,2,2
64,36005011700,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,509,-0.096616775,0.02431085,-0.59600461,-0.077453032,Very Low,Moderate,Very Low,Very Low,7,55,1,2,Very Low,Low,Very Low,Very Low,9,31,3,2,Very Low,Low,Very Low,Very Low,10,31,2,2
65,36005011800,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,594,-0.020624556,0.034659795,0.072461665,0.009840362,Moderate,High,Moderate,Moderate,43,65,59,57,Low,Moderate,High,Moderate,39,46,65,59,Low,Moderate,High,Moderate,36,44,62,55
66,36005011900,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1532,-0.047859531,-0.001186636,-0.60950232,-0.076346487,Low,Low,Very Low,Very Low,26,31,1,2,Low,Very Low,Very Low,Very Low,27,10,2,3,Low,Very Low,Very Low,Very Low,27,10,2,2
67,36005012101,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,831,-0.13663973,0.001683979,-0.49254623,-0.072245747,Very Low,Low,Very Low,Very Low,1,33,2,2,Very Low,Very Low,Very Low,Very Low,1,12,6,4,Very Low,Very Low,Very Low,Very Low,1,11,5,3
68,36005012102,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,420,-0.10011865,0.024116924,-0.72018248,-0.092311665,Very Low,Moderate,Very Low,Very Low,7,54,1,1,Very Low,Low,Very Low,Very Low,8,31,1,1,Very Low,Low,Very Low,Very Low,8,30,1,1
69,36005012300,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1036,-0.12739521,0.022061653,-0.47068739,-0.066511653,Very Low,Moderate,Very Low,Very Low,2,52,2,3,Very Low,Low,Very Low,Very Low,2,28,7,6,Very Low,Low,Very Low,Very Low,2,28,6,5
70,36005012500,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1212,-0.10514085,0.01949293,-0.36935073,-0.052531872,Very Low,Moderate,Very Low,Very Low,6,50,5,6,Very Low,Low,Very Low,Very Low,6,24,13,11,Very Low,Low,Very Low,Very Low,6,24,12,10
71,36005012701,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,484,-0.038492698,0.016010288,-0.58126438,-0.070194967,Low,Moderate,Very Low,Very Low,32,46,1,2,Low,Low,Very Low,Very Low,30,21,3,4,Low,Low,Very Low,Very Low,29,21,3,3
72,36005012901,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1389,-0.065797262,0.036152415,-0.63886434,-0.077773437,Very Low,High,Very Low,Very Low,17,67,1,1,Very Low,Moderate,Very Low,Very Low,20,48,2,2,Very Low,Moderate,Very Low,Very Low,20,46,2,2
73,36005013000,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,278,-0.005512034,0.056737013,0.063799672,0.012852262,Moderate,Very High,Moderate,High,51,86,58,61,Moderate,High,High,High,47,79,64,62,Moderate,High,Moderate,Moderate,41,75,60,57
74,36005013100,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1604,-0.10707348,0.022038506,-0.4464438,-0.061446156,Very Low,Moderate,Very Low,Very Low,5,52,3,4,Very Low,Low,Very Low,Very Low,5,28,8,8,Very Low,Low,Very Low,Very Low,6,28,7,6
75,36005013200,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1414,-0.019266507,0.041819781,0.051078737,0.008263988,Moderate,High,Moderate,Moderate,43,73,55,55,Low,Moderate,High,Moderate,40,57,62,57,Low,Moderate,Moderate,Moderate,36,54,58,54
76,36005013300,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1378,-0.11740582,0.031546596,-0.48254836,-0.0657783,Very Low,High,Very Low,Very Low,3,62,2,3,Very Low,Moderate,Very Low,Very Low,3,41,6,6,Very Low,Low,Very Low,Very Low,3,40,6,5
77,36005013500,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1046,-0.10182224,0.01973317,-0.49876928,-0.067200132,Very Low,Moderate,Very Low,Very Low,6,50,2,3,Very Low,Low,Very Low,Very Low,7,25,6,5,Very Low,Low,Very Low,Very Low,8,25,5,4
78,36005013800,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,534,-0.026621535,-0.03870818,-0.031452551,-0.01072213,Low,Very Low,Low,Low,39,11,39,33,Low,Very Low,Moderate,Low,36,3,48,38,Low,Very Low,Moderate,Low,33,2,47,38
79,36005014100,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1831,-0.10555967,0.028507836,-0.45323119,-0.061380286,Very Low,Moderate,Very Low,Very Low,5,59,3,4,Very Low,Low,Very Low,Very Low,6,37,8,8,Very Low,Low,Very Low,Very Low,6,36,7,6
80,36005014300,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,317,-0.072601251,0.046795279,-0.47451043,-0.058266975,Very Low,High,Very Low,Very Low,14,77,2,4,Very Low,High,Very Low,Very Low,17,65,7,9,Very Low,High,Very Low,Very Low,18,61,6,8
81,36005014400,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1476,-0.025755012,0.025897095,-0.60513669,-0.070512809,Low,Moderate,Very Low,Very Low,39,56,1,2,Low,Low,Very Low,Very Low,36,33,2,4,Low,Low,Very Low,Very Low,34,33,2,3
82,36005014500,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,2731,-0.034607094,0.043872468,-0.67825538,-0.078087755,Low,High,Very Low,Very Low,34,75,1,1,Low,Moderate,Very Low,Very Low,32,60,1,2,Low,Moderate,Very Low,Very Low,31,57,1,2
83,36005014701,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,2794,0.010778195,0.041854825,-0.67920661,-0.073395543,Moderate,High,Very Low,Very Low,60,73,1,2,Moderate,Moderate,Very Low,Very Low,55,57,1,3,Moderate,Moderate,Very Low,Very Low,47,54,1,3
84,36005014702,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1779,-0.000575544,0.043197177,-0.59096128,-0.06423863,Moderate,High,Very Low,Very Low,54,74,1,3,Moderate,Moderate,Very Low,Very Low,49,59,3,7,Moderate,Moderate,Very Low,Very Low,43,56,3,5
85,36005014900,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1164,-0.028202968,0.01526465,-0.54480171,-0.064893492,Low,Moderate,Very Low,Very Low,38,45,1,3,Low,Very Low,Very Low,Very Low,35,20,4,6,Low,Very Low,Very Low,Very Low,33,20,4,5
86,36005015100,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1615,-0.060197745,0.00326368,-0.42855591,-0.056179881,Very Low,Low,Very Low,Very Low,20,35,3,5,Low,Very Low,Very Low,Very Low,22,13,9,10,Low,Very Low,Very Low,Very Low,22,12,8,8
